 over-	 over
 anti-	 anti
 arch-	 arch
 self-	 self
 mid-	 mid
 be-	 be
 step-	 step
 ex-	 ex
 with-	 with
 post-	 post
 mal-	 mal
 de-	 de
 co-	 co
 un-	 un
 midi-	 midi
 mis-	 mis
 a-	 a
 trans-	 trans
 up-	 up
 en-	 en
 em-	 em
 dis-	 dis
 pre-	 pre
 counter-	 counter
 mini-	 mini
 twi-	 twi
 under-	 under
 hind-	 hind
 pro-	 pro
 fore-	 fore
 re-	 re
 out-	 out
